"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-06,225,monthly,111136,0.7,1.9,76.8,225,189738,1.2,1.4,77.6,114134,0.8,1.9,76.5,85316,-0.2,2.1,75.5,68679,2.4,2.2,83.1,98519,0.6,1.9,76.6,128357,0.8,1.8,77.1,104663,0.8,1.9,77.3,73,114448,0.7,1.8,76.6,152,228872,-0.1,1.0,78.8,47,108004,0.8,2.0,76.4,178,2017-06-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-07,172,monthly,109914,-1.1,-1.1,76.0,172,187247,-0.9,-1.3,76.5,112937,-1.0,-1.0,75.7,84417,-2.0,-1.1,74.7,68060,0.6,-0.9,82.4,97436,-1.2,-1.1,75.7,126946,-1.0,-1.1,76.2,103545,-1.1,-1.1,76.5,63,113168,-1.2,-1.1,75.7,109,225702,-1.6,-1.4,77.7,36,106841,-1.1,-1.1,75.6,136,2017-07-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-08,173,monthly,112473,3.8,2.3,77.7,173,191504,3.9,2.3,78.3,115459,3.8,2.2,77.4,86578,3.3,2.6,76.6,69429,5.5,2.0,84.1,99650,3.7,2.3,77.5,129967,3.9,2.4,78.0,105975,3.9,2.3,78.3,64,115790,3.8,2.3,77.5,109,229406,4.0,1.6,79.0,20,109388,3.7,2.4,77.4,153,2017-08-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-09,186,monthly,110933,1.2,-1.4,76.7,186,189388,1.5,-1.1,77.4,113818,1.0,-1.4,76.3,85341,0.8,-1.4,75.5,68246,2.7,-1.7,82.6,98266,1.1,-1.4,76.4,128212,1.3,-1.4,77.0,104481,1.2,-1.4,77.1,65,114234,1.2,-1.3,76.4,121,227110,1.8,-1.0,78.2,20,107858,1.1,-1.4,76.3,166,2017-09-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-10,212,monthly,111963,3.3,0.9,77.4,212,191486,3.4,1.1,78.3,114949,3.2,1.0,77.1,86017,3.3,0.8,76.1,68425,3.9,0.3,82.8,99160,3.3,0.9,77.1,129424,3.4,0.9,77.7,105380,3.4,0.9,77.8,84,115341,3.3,1.0,77.2,128,230073,3.8,1.3,79.2,39,108827,3.2,0.9,77.0,173,2017-10-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-11,184,monthly,108652,-1.8,-3.0,75.1,184,186079,-2.0,-2.8,76.1,111679,-1.9,-2.8,74.9,83266,-1.7,-3.2,73.7,66244,-1.6,-3.2,80.2,96227,-1.8,-3.0,74.8,125597,-1.9,-3.0,75.4,102225,-1.8,-3.0,75.5,66,111956,-1.9,-2.9,74.9,118,223687,-2.0,-2.8,77.0,34,105593,-1.9,-3.0,74.7,150,2017-11-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2017-12,162,monthly,113419,4.1,4.4,78.4,162,193779,3.4,4.1,79.2,116685,4.2,4.5,78.2,86952,4.3,4.4,76.9,69117,3.9,4.3,83.7,100490,4.2,4.4,78.1,131058,4.0,4.3,78.7,106729,4.1,4.4,78.8,58,116855,4.1,4.4,78.2,104,233064,3.2,4.2,80.3,28,110242,4.1,4.4,78.0,134,2017-12-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-01,141,monthly,112473,5.8,-0.8,77.7,141,192324,5.0,-0.8,78.6,115752,6.0,-0.8,77.6,86139,6.0,-0.9,76.2,68484,5.8,-0.9,82.9,99661,5.9,-0.8,77.5,129954,5.7,-0.8,78.0,105757,5.8,-0.9,78.1,40,115934,5.8,-0.8,77.6,101,232479,4.8,-0.3,80.1,20,109273,5.8,-0.9,77.3,121,2018-01-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-02,130,monthly,112442,5.0,0.0,77.7,130,193109,4.7,0.4,78.9,115583,5.2,-0.1,77.5,86025,4.9,-0.1,76.1,68101,3.6,-0.6,82.4,99651,5.0,0.0,77.5,129899,4.9,0.0,78.0,105566,4.8,-0.2,77.9,43,116008,5.1,0.1,77.6,87,236946,5.8,1.9,81.6,17,108971,4.8,-0.3,77.1,113,2018-02-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-03,164,monthly,107750,1.2,-4.2,74.5,164,185788,1.2,-3.8,75.9,110795,1.4,-4.1,74.3,82224,1.0,-4.4,72.7,64856,-0.7,-4.8,78.5,95430,1.2,-4.2,74.2,124552,1.1,-4.1,74.8,101095,0.9,-4.2,74.6,58,111212,1.3,-4.1,74.4,106,228729,2.4,-3.5,78.8,27,104398,1.0,-4.2,73.8,137,2018-03-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-04,187,monthly,107634,-1.7,-0.1,74.4,187,185557,-1.5,-0.1,75.9,110681,-1.4,-0.1,74.2,82215,-2.0,0.0,72.7,64446,-4.5,-0.6,78.0,95311,-1.8,-0.1,74.1,124433,-1.7,-0.1,74.7,101026,-2.0,-0.1,74.6,74,111065,-1.6,-0.1,74.3,113,228225,0.1,-0.2,78.6,27,104308,-1.9,-0.1,73.8,160,2018-04-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2018-05,178,monthly,109177,0.1,1.4,75.5,178,187571,0.3,1.1,76.7,112478,0.4,1.6,75.4,83470,-0.1,1.5,73.8,65160,-3.0,1.1,78.9,96622,0.0,1.4,75.1,126275,0.2,1.5,75.8,102637,0.0,1.6,75.8,65,112552,0.2,1.3,75.3,113,227795,0.5,-0.2,78.5,27,106147,0.2,1.8,75.1,151,2018-05-01
